date,site,depth_range_m,deep_ft,shallow_ft,deep_m,shallow_m,divers,net_type,net_num,clarity,bedrock,boulder,cobble,gravel,small_gravel,sand,silt,hard_clay,veg_low,veg_mid,veg_high,clad,veg_cover,veg_1,veg_2,veg_3,veg_4,veg_5
7/7/2023,PLQ2,5-2,5,2,1.5,0.6,RAL,EXP,1 to 9,4.8,2,0,0,0,0,60,0,38,P,A,A,UNK,58,0.1,0.1,0.1,0.1,0.1
7/7/2023,PLQ2,40-35,40,35,12.2,10.6,RAL,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,10,0.1,0.1,0.1,0.1,0.1
7/7/2023,PLQ2,35-30,35,30,10.6,9.1,RAL,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,20,0.1,0.1,0.1,0.1,0.1
7/7/2023,PLQ2,30-25,30,25,9.1,7.6,PB,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,25,0.3,0.3,0.3,0.3,0.3
7/7/2023,PLQ2,25-20,25,20,7.6,6.1,PB,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,15,0.2,0.3,0.3,0.3,0.5
7/7/2023,PLQ2,20-15,20,15,6.1,4.6,PB,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,40,0.4,0.3,0.3,0.3,0.3
7/7/2023,PLQ2,15-10,15,10,4.6,3.0,PB,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,P,90,0.4,0.4,0.4,0.4,0.4
7/7/2023,PLQ2,40-35,40,35,12.2,10.6,PB,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,20,0.4,0.4,0.4,0.4,0.4
7/7/2023,PLQ2,35-30,35,30,10.6,9.1,PB,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,10,0.3,0.3,0.3,0.3,0.3
7/7/2023,PLQ2,45-40,45,40,13.7,12.2,LK,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PLQ2,40-35,40,35,12.2,10.6,LK,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PLQ2,35-30,35,30,10.6,9.1,LK,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,A,A,UNK,30,0.5,0.5,0.3,0.3,0.1
7/7/2023,PLQ2,30-25,30,25,9.1,7.6,LK,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,P,A,UNK,50,1,1,1,0.5,0.1
7/7/2023,PLQ2,25-20,25,20,7.6,6.1,LK,CORE,10 & 20,4.8,0,0,0,0,0,20,80,0,P,A,A,UNK,5,0.1,0.1,0.1,0.2,0.2
7/7/2023,PLQ2,20-15,20,15,6.1,4.6,LK,CORE,10 & 20,4.8,0,0,0,0,0,20,80,0,P,A,A,P,5,0.1,0.1,0.1,0.2,0.2
7/7/2023,PLQ2,15-10,15,10,4.6,3.0,LK,CORE,10 & 20,4.8,0,0,0,0,0,20,80,0,P,P,A,P,5,1,1,1,0.5,0.5
7/7/2023,PLQ2,10-5,10,5,3.0,1.5,LK,CORE,10 & 20,4.8,0,0,0,0,0,20,80,0,P,A,A,UNK,5,0.1,0.1,0.1,0.1,0.1
7/7/2023,PLQ2,5-1,5,1,1.5,0.3,LK,CORE,10 & 20,4.8,0,0,0,0,0,80,20,0,P,A,A,UNK,10,0.1,0.1,0.1,0.1,0.1
7/7/2023,PLQ2,55-50,55,50,16.7,15.2,LK,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PLQ2,50-45,50,45,15.2,13.7,LK,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PLQ2,45-40,45,40,13.7,12.2,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PLQ2,40-35,40,35,12.2,10.6,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,A,A,UNK,1,0.1,0,0,0,0
7/7/2023,PLQ2,35-30,35,30,10.6,9.1,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,A,A,UNK,40,0.1,0.1,0.1,0.2,0.2
7/7/2023,PLQ2,30-25,30,25,9.1,7.6,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,P,A,UNK,50,0.1,0.1,0.3,0.3,1
7/7/2023,PLQ2,25-20,25,20,7.6,6.1,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,P,A,UNK,50,0.1,0.1,0.3,0.3,1
7/7/2023,PLQ2,20-15,20,15,6.1,4.6,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,P,P,A,UNK,90,1,1,1,0.5,0.2
7/7/2023,PLQ2,15-10,15,10,4.6,3.0,SAB,CORE,10 & 20,4.8,0,5,0,0,0,50,40,5,P,A,A,UNK,80,0.1,0.1,0.5,0.5,0.3
7/7/2023,PLQ2,10-5,10,5,3.0,1.5,SAB,CORE,10 & 20,4.8,0,5,0,0,0,70,25,0,P,A,A,UNK,50,0.05,0.05,0.05,0.5,0.2
7/7/2023,PLQ2,5-1,5,1,1.5,0.3,SAB,CORE,10 & 20,4.8,0,0,0,0,0,100,0,0,P,A,A,UNK,20,0.1,0.1,0.1,0.1,0.2
7/7/2023,PLQ2,55-50,55,50,16.7,15.2,SAB,CORE,10 & 20,4.8,0,0,0,0,0,0,100,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,PLQ2,50-45,50,45,15.2,13.7,SAB,CORE,10 & 20,4.8,0,2,0,0,0,0,98,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,HEK,50-45,50,45,15.2,13.7,LK,CORE,10 & 20,5.3,0,0,0,0,0,20,80,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,HEK,45-40,45,40,13.7,12.2,LK,CORE,10 & 20,5.3,0,0,0,0,20,20,60,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,HEK,40-35,40,35,12.2,10.6,LK,CORE,10 & 20,5.3,0,0,0,0,20,20,60,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,HEK,35-30,35,30,10.6,9.1,LK,CORE,10 & 20,5.3,0,0,0,0,20,70,10,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,HEK,30-25,30,25,9.1,7.6,LK,CORE,10 & 20,5.3,1,0,0,0,50,50,0,0,P,A,A,UNK,1,0.3,0,0,0,0
7/7/2023,HEK,25-20,25,20,7.6,6.1,LK,CORE,10 & 20,5.3,25,0,0,0,40,35,0,0,P,A,A,P,10,0.3,0.3,0.1,0.1,0.1
7/7/2023,HEK,20-15,20,15,6.1,4.6,LK,CORE,10 & 20,5.3,15,0,0,0,35,50,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,HEK,15-10,15,10,4.6,3.0,LK,CORE,10 & 20,5.3,100,0,0,0,0,0,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,HEK,10-5,10,5,3.0,1.5,LK,CORE,10 & 20,5.3,80,0,0,0,5,15,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,HEK,5-0,5,0,1.5,0.0,LK,CORE,10 & 20,5.3,55,20,15,0,10,0,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,HEK,60-55,60,55,18.2,16.7,LK,CORE,10 & 20,5.3,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,HEK,55-50,55,50,16.7,15.2,LK,CORE,10 & 20,5.3,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,HEK,30-25,30,25,9.1,7.6,RAL,EXP,1 to 9,5.3,90,0,0,0,0,0,10,0,P,A,A,UNK,70,0.1,0.1,0.2,0.2,0.2
7/7/2023,HEK,25-20,25,20,7.6,6.1,RAL,EXP,1 to 9,5.3,90,0,0,0,0,0,10,0,P,A,A,UNK,70,0.1,0.1,0.2,0.2,0.2
7/7/2023,HEK,20-15,20,15,6.1,4.6,RAL,EXP,1 to 9,5.3,30,0,0,0,0,0,70,0,P,A,A,UNK,70,0.1,0.1,0.2,0.2,0.2
7/7/2023,HEK,15-10,15,10,4.6,3.0,RAL,EXP,1 to 9,5.3,0,0,0,0,0,0,100,0,P,A,A,UNK,60,0.1,0.1,0.1,0.2,0.2
